,UF,codMun,AreaPrestacao
357,MG,3133709,Setor 2
358,MG,3133758,Setor 2
359,MG,3133808,Setor 2
360,MG,3133907,Setor 2
361,MG,3134004,Setor 2
362,MG,3134103,Setor 2
363,MG,3134301,Setor 2
364,MG,3134509,Setor 2
365,MG,3134608,Setor 2
366,MG,3134707,Setor 2
367,MG,3134806,Setor 2
368,MG,3134905,Setor 2
369,MG,3135001,Setor 2
370,MG,3135050,Setor 2
371,MG,3135076,Setor 2
372,MG,3135100,Setor 2
373,MG,3135209,Setor 2
374,MG,3135308,Setor 2
375,MG,3135357,Setor 2
376,MG,3135407,Setor 2
377,MG,3135456,Setor 2
378,MG,3135506,Setor 2
379,MG,3135605,Setor 2
380,MG,3135704,Setor 2
381,MG,3135803,Setor 2
382,MG,3135902,Setor 2
383,MG,3136009,Setor 2
384,MG,3136108,Setor 2
385,MG,3136207,Setor 2
386,MG,3136306,Setor 2
387,MG,3136405,Setor 2
388,MG,3136504,Setor 2
389,MG,3136520,Setor 2
390,MG,3136553,Setor 2
391,MG,3136579,Setor 2
392,MG,3136603,Setor 2
393,MG,3136652,Setor 2
394,MG,3136702,Setor 2
395,MG,3136801,Setor 2
396,MG,3136900,Setor 2
397,MG,3136959,Setor 2
398,MG,3137007,Setor 2
399,MG,3137205,Setor 2
400,MG,3137304,Setor 2
401,MG,3137403,Setor 2
402,MG,3137601,Setor 2
403,MG,3137700,Setor 2
404,MG,3137809,Setor 2
405,MG,3137908,Setor 2
406,MG,3138005,Setor 2
407,MG,3138104,Setor 2
408,MG,3138203,Setor 2
409,MG,3138302,Setor 2
410,MG,3138351,Setor 2
411,MG,3138401,Setor 2
412,MG,3138500,Setor 2
413,MG,3138609,Setor 2
414,MG,3138658,Setor 2
415,MG,3138674,Setor 2
416,MG,3138682,Setor 2
417,MG,3138708,Setor 2
418,MG,3138906,Setor 2
419,MG,3139003,Setor 2
420,MG,3139102,Setor 2
421,MG,3139201,Setor 2
422,MG,3139250,Setor 2
423,MG,3139300,Setor 2
424,MG,3139409,Setor 2
425,MG,3139508,Setor 2
426,MG,3139607,Setor 2
427,MG,3139805,Setor 2
428,MG,3139904,Setor 2
429,MG,3140001,Setor 2
430,MG,3140100,Setor 2
431,MG,3140159,Setor 2
432,MG,3140209,Setor 2
433,MG,3140308,Setor 2
434,MG,3140407,Setor 2
435,MG,3140506,Setor 2
436,MG,3140530,Setor 2
437,MG,3140555,Setor 2
438,MG,3140605,Setor 2
439,MG,3140704,Setor 2
440,MG,3140803,Setor 2
441,MG,3140852,Setor 2
442,MG,3140902,Setor 2
443,MG,3141009,Setor 2
444,MG,3141108,Setor 2
